id,tributary,date,sex,length,floy_num,tag_col,PIT,site,group
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0010,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0016,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0019,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0025,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0028,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0053,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0091,Grinnell,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0122,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0155,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0203,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0212,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0223,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_1147,Horse,9/14/2016,NA,NA,NA,NA,NA,NA,ref
EGM2018_2014,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2016,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2022,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2023,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2037,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2040,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2183,Trout Creek,9/16/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2335,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2336,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2337,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2338,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2339,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2340,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2341,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2343,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2345,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2346,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2348,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2349,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2350,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2351,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2352,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2353,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2354,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2359,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2360,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2361,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2362,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2363,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
WCR2019_0001,Trout Creek,4/21/2019,Female ,475,426,Green,1.26057e+11,NA,6
WCR2019_0014,Trout Creek,4/24/2019,Male ,449,7,Orange,1.26057e+11,NA,2
WCR2019_0016,Trout Creek,4/24/2019,Male ,493,9,Orange,1.26057e+11,NA,7
WCR2019_0019,Trout Creek,4/24/2019,Female ,486,12,Orange,1.26057e+11,NA,2
WCR2019_0029,Trout Creek,5/3/2019,Male ,390,20,Orange,1.26057e+11,NA,5
WCR2019_0031,Trout Creek,5/3/2019,Male ,369,21,Orange,1.26057e+11,NA,3
WCR2019_0037,Trout Creek,5/4/2019,Female ,483,22,Orange,1.26057e+11,NA,6
