id,tributary,date,sex,length,floy_num,tag_col,PIT,site,group
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0010,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0016,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0019,Middle,9/6/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0025,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM16_0028,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0053,Middle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0091,Grinnell,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0122,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0155,NFShoshone,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0203,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0212,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_0223,Eagle,9/7/2016,NA,NA,NA,NA,NA,NA,ref
EGM16_1147,Horse,9/14/2016,NA,NA,NA,NA,NA,NA,ref
EGM2018_2014,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2016,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2022,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2023,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2037,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2040,Middle,9/15/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2183,Trout Creek,9/16/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2335,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2336,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2337,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2338,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2339,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2340,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2341,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2343,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2345,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2346,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGM2018_2348,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2349,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2350,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2351,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2352,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2353,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2354,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2359,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2360,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2361,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2362,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
EGM2018_2365,YNP,5/2018,NA,NA,NA,NA,NA,NA,ref
WCR2019_0003,Trout,4/22/2019,Female ,475,426,Green,126057050256,NA,1
WCR2019_0005,Middle Creek,4/22/2019,Male ,412,553,Pink,1.26057e+11,NA,7
WCR2019_0015,Trout Creek,4/24/2019,Male ,445,8,Orange,1.26057e+11,NA,2
WCR2019_0041,Trout Creek,5/5/2019,Female ,459,24,Orange,1.26057e+11,NA,3
WCR2019_0050,Trout Creek,5/7/2019,Male ,434,30,Orange,1.26057e+11,NA,2
WCR2019_0056,Trout Creek,5/9/2019,Female ,438,573,Pink,1.26057e+11,NA,1
WCR2019_0063,Trout Creek,5/10/2019,Female ,443,576,Pink,1.26057e+11,NA,1
